Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
212,86.21238938,84.03009033,81.55964852,85.43732489,86.2767868
213,83.66019417,80.07406616,81.91608013,83.00630908,80.13506317
214,90.61904762,94.36935425,92.47434807,89.16288418,94.37490845
215,78.11009174,80.20449829,81.20963267,82.1557018,80.9140625
216,80.425,78.506073,79.8080165,81.23666116,79.58873749
217,78.94,75.90463257,76.75646322,80.89705739,76.58466339
218,79.3125,69.52331543,69.69689825,73.26619747,69.94544983
219,81.1875,79.58853149,79.48682192,80.2900881,79.72598267
220,90.46153846,71.26196289,71.25083224,74.13101681,71.5247879
221,78,73.57128906,73.95760739,76.19377305,74.14025116
222,86.83783784,77.61065674,77.40587814,79.72705103,77.90084076
223,78.84482759,77.06765747,76.07062524,78.92394007,76.03061676
224,81.6,87.9703064,85.65310921,83.730677,87.70650482
225,81.93589744,82.00662231,80.87823004,80.75080685,80.33917999
226,83.30693069,85.54522705,87.11786526,83.6563905,86.82575226
227,82.43589744,85.04107666,85.72785431,85.45079531,83.41750336
228,70.5,70.33462524,70.58174943,73.00562198,70.48683929
229,32.5,71.10708618,71.34594974,73.87448162,71.34488678
230,93.67741935,84.58163452,84.07030419,82.06708238,84.51210022
231,81.22580645,77.25189209,77.8633039,78.87416159,77.74388885
232,86.62637363,89.67834473,89.50156577,86.81339398,89.32481384
233,74.5625,70.83584595,70.79401921,72.71672512,70.59199524
234,78.63302752,80.81866455,79.87364023,82.92115376,82.31819153
235,76.74509804,75.87591553,79.70898789,82.79345844,78.49655151
236,84.74509804,82.46368408,81.16873787,85.68431161,80.9822464
237,85.72727273,77.57543945,77.65651213,79.17019907,77.88865662
238,69.66666667,67.62457275,66.73716869,72.21679809,67.54064178
239,77.57142857,74.79653931,75.08869946,76.158152,75.18331146
240,81.71084337,81.36962891,81.80004611,81.1939079,81.55802917
241,75.34545455,74.42678833,74.86493774,77.69136133,74.72732544
242,76.20289855,76.53491211,76.50528353,79.68736761,75.82256317
243,57.33333333,69.8671875,70.16825938,72.9202956,70.18930817
244,72.77966102,75.92532349,76.89318642,78.52339384,77.01766205
245,78.22368421,79.34329224,78.68368703,81.24509231,78.41038513
